ID,Marque,Type_Vehicule,Age_Vehicule,Valeur_Vehicule_DT,Kilometrage,Chevaux_Fiscaux,Place_Parking,Voiture_Entreprise,Age_Conducteur,Annees_Experience,Nombre_Accidents,Ratio_Accidents_Experience,Score_Vehicule,Score_Conducteur,Type_Vehicule_Classe,Type_Conducteur_Classe,Assurance_Recommandee
37,Lamborghini,SUV,5,169777,85912,20,True,True,71,7,1,0.143,3.8,1.6,High Cost,À risque,Tiers Plus
38,Peugeot,Voiture populaire,1,19166,12502,5,True,False,65,18,1,0.056,2.55,3.0,Medium Cost,Modéré,Tiers Plus
39,Hyundai,Berline compact,0,13993,0,7,True,False,23,2,0,0.0,2.35,4.0,Medium Cost,Expert,Tout Risque
40,Lexus,Berline compact,4,65624,66153,12,False,False,50,20,0,0.0,2.9,4.0,Medium Cost,Expert,Tout Risque
41,Renault,Break familial,0,35761,0,5,False,False,71,2,0,0.0,2.6,3.6,Medium Cost,Expert,Tout Risque
42,Land Rover,Berline executive,7,97606,77876,21,False,False,59,1,0,0.0,3.15,3.8,High Cost,Expert,Tout Risque
43,Kia,Break familial,7,10747,156549,5,True,True,56,28,0,0.0,1.65,3.4,Low Cost,Expert,Tiers Plus
44,Ford,Citadine,9,10620,213492,5,True,True,24,0,0,0.0,1.85,3.6,Low Cost,Expert,Tiers Plus
45,Dacia,Voiture populaire,3,16991,65398,6,True,True,32,11,1,0.091,1.95,2.8,Low Cost,Modéré,Tiers
46,Hyundai,Citadine,6,7487,132385,5,False,True,39,21,0,0.0,1.35,3.6,Low Cost,Expert,Tiers Plus
47,Volvo,Break familial,9,22319,133783,11,False,False,25,4,0,0.0,2.1,4.0,Medium Cost,Expert,Tout Risque
48,Renault,Berline compact,11,16767,236221,8,False,True,49,19,0,0.0,1.5,3.6,Low Cost,Expert,Tiers Plus
49,Lamborghini,Sportive,2,532693,43298,17,False,True,59,29,0,0.0,3.9,3.4,High Cost,Expert,Tout Risque
50,Kia,Voiture populaire,7,2674,72213,4,False,False,70,22,0,0.0,1.4,3.6,Low Cost,Expert,Tiers Plus
51,Audi,Voiture de luxe,11,25601,207981,12,False,True,51,31,1,0.032,2.25,2.6,Medium Cost,Modéré,Tiers Plus
52,Land Rover,Voiture populaire,8,99580,101391,24,True,False,22,4,0,0.0,3.15,4.0,High Cost,Expert,Tout Risque
53,Bentley,Berline executive,11,48861,228716,16,True,True,46,13,0,0.0,2.8,3.6,Medium Cost,Expert,Tout Risque
54,Renault,Break familial,14,7766,202842,8,False,True,33,9,1,0.111,1.5,2.0,Low Cost,À risque,Tiers
55,Audi,Berline compact,4,70366,40950,13,False,False,27,5,1,0.2,2.95,2.4,Medium Cost,Modéré,Tiers Plus
56,Peugeot,Voiture populaire,1,33032,17130,6,False,True,49,0,0,0.0,2.5,3.6,Medium Cost,Expert,Tout Risque
57,Fiat,Citadine,12,1830,191462,4,True,True,49,26,2,0.077,1.3,2.8,Low Cost,Modéré,Tiers
58,Chery,Voiture de luxe,11,8865,141935,5,False,False,54,11,0,0.0,1.45,3.8,Low Cost,Expert,Tiers Plus
59,Renault,Voiture de luxe,0,30508,0,9,True,True,48,13,0,0.0,3.15,3.6,High Cost,Expert,Tout Risque
60,Nissan,Citadine,2,21137,25583,6,False,False,43,9,0,0.0,2.25,4.0,Medium Cost,Expert,Tout Risque
61,Lamborghini,Sportive,1,286244,10581,23,False,False,28,7,1,0.143,4.0,2.4,High Cost,Modéré,Tout Risque
62,Maserati,Sportive,4,238139,102443,18,True,True,41,2,1,0.5,3.9,1.2,High Cost,À risque,Tiers Plus
63,Volkswagen,Break familial,3,21840,55392,9,True,True,72,12,1,0.083,2.4,2.4,Medium Cost,Modéré,Tiers Plus
64,Bentley,Berline executive,2,279141,30474,14,True,True,65,24,0,0.0,4.1,3.4,High Cost,Expert,Tout Risque
65,Infiniti,Sportive,10,54809,151998,13,True,True,29,8,0,0.0,2.8,3.6,Medium Cost,Expert,Tout Risque
66,Volvo,Voiture populaire,13,22542,287576,11,True,True,64,15,0,0.0,2.0,3.4,Low Cost,Expert,Tiers Plus
67,Porsche,Voiture populaire,2,235758,28952,16,True,False,40,15,1,0.067,4.0,3.2,High Cost,Expert,Tout Risque
68,Kia,Break familial,12,2579,302053,4,True,True,48,25,0,0.0,1.4,3.6,Low Cost,Expert,Tiers Plus
69,Audi,Berline executive,6,84006,123305,13,False,True,26,0,0,0.0,2.75,3.6,Medium Cost,Expert,Tout Risque
70,Land Rover,Berline executive,6,261266,61320,23,True,False,19,0,0,0.0,3.7,3.6,High Cost,Expert,Tout Risque
71,Nissan,Berline compact,5,34569,82592,5,False,False,34,6,2,0.333,2.2,1.6,Medium Cost,À risque,Tiers
72,Ford,Voiture populaire,3,31312,38816,7,True,False,71,38,0,0.0,2.5,3.6,Medium Cost,Expert,Tout Risque
73,Porsche,Voiture populaire,9,42309,161667,14,True,True,67,27,1,0.037,2.8,2.4,Medium Cost,Modéré,Tiers Plus
74,Volvo,SUV,3,104169,21238,12,True,False,30,11,3,0.273,3.4,2.4,High Cost,Modéré,Tout Risque
75,Hyundai,Break familial,14,3790,134112,3,False,False,23,1,0,0.0,1.2,4.0,Low Cost,Expert,Tiers Plus
76,Chery,Sportive,12,12856,174215,10,False,True,54,35,1,0.029,1.4,2.6,Low Cost,Modéré,Tiers
77,Land Rover,SUV,3,316258,44715,22,True,True,48,0,0,0.0,3.9,3.6,High Cost,Expert,Tout Risque
78,Citroën,Voiture populaire,5,27620,93052,5,True,True,27,7,0,0.0,2.4,3.6,Medium Cost,Expert,Tout Risque
79,Citroën,SUV,7,19076,86131,11,True,False,67,27,0,0.0,2.2,3.6,Medium Cost,Expert,Tout Risque
80,Renault,SUV,8,14048,82416,7,False,False,37,12,1,0.083,1.85,3.2,Low Cost,Expert,Tiers Plus
81,Fiat,Voiture populaire,12,4042,83507,4,False,False,22,0,0,0.0,1.1,4.0,Low Cost,Expert,Tiers Plus
82,Fiat,Citadine,7,2840,171639,5,False,True,72,32,1,0.031,1.25,2.4,Low Cost,Modéré,Tiers
83,Jaguar,SUV,1,255384,14123,19,True,False,39,16,2,0.125,4.2,2.4,High Cost,Modéré,Tout Risque
84,Lexus,Voiture de luxe,1,61435,14441,16,True,True,72,5,1,0.2,3.75,1.6,High Cost,À risque,Tiers Plus
85,Hyundai,Berline compact,4,14565,93440,7,True,False,70,36,1,0.028,1.95,2.8,Low Cost,Modéré,Tiers
86,Infiniti,Berline compact,2,53301,33936,13,False,True,18,0,1,1.0,2.9,0.8,Medium Cost,À risque,Tiers
87,Fiat,SUV,12,9384,197840,5,False,True,51,27,0,0.0,1.25,3.4,Low Cost,Expert,Tiers Plus
88,Toyota,Break familial,6,20503,132353,6,True,True,20,2,0,0.0,2.05,3.2,Medium Cost,Expert,Tout Risque
89,Toyota,Voiture de luxe,0,82982,0,12,True,True,74,16,0,0.0,3.4,3.2,High Cost,Expert,Tout Risque
90,Chery,Berline compact,14,6682,266650,7,False,True,19,0,0,0.0,1.15,3.2,Low Cost,Expert,Tiers Plus
91,Chery,Berline executive,5,16116,107035,7,False,True,35,14,0,0.0,1.75,3.6,Low Cost,Expert,Tiers Plus
92,Citroën,Berline compact,14,15979,219779,5,True,False,47,22,1,0.045,1.75,3.2,Low Cost,Expert,Tiers Plus
93,Fiat,Sportive,0,42923,0,9,True,True,27,0,0,0.0,2.85,3.6,Medium Cost,Expert,Tout Risque
94,BMW,Berline executive,7,41014,101852,15,False,True,60,42,0,0.0,2.5,3.4,Medium Cost,Expert,Tout Risque
95,Peugeot,Citadine,2,15841,26105,7,True,False,25,3,0,0.0,2.55,4.0,Medium Cost,Expert,Tout Risque
96,Ford,SUV,7,33229,103865,9,True,False,68,18,2,0.111,2.45,2.0,Medium Cost,À risque,Tiers
97,Toyota,Voiture de luxe,1,29224,17343,12,False,True,18,0,0,0.0,2.85,3.2,Medium Cost,Expert,Tout Risque
98,Kia,SUV,11,5505,101681,6,True,False,43,24,0,0.0,1.65,4.0,Low Cost,Expert,Tiers Plus
99,Fiat,Voiture populaire,5,3389,53970,7,False,False,53,0,0,0.0,1.65,3.8,Low Cost,Expert,Tiers Plus
100,Bentley,Berline executive,2,179668,32428,22,False,True,45,22,1,0.045,3.8,2.8,High Cost,Modéré,Tout Risque
101,Nissan,Break familial,1,27010,22969,7,False,True,24,2,1,0.5,2.6,1.2,Medium Cost,À risque,Tiers
102,Maserati,Voiture de luxe,13,174285,298940,25,True,True,55,34,0,0.0,3.4,3.4,High Cost,Expert,Tout Risque
103,Toyota,Voiture de luxe,8,14307,99546,7,True,False,43,11,0,0.0,2.25,4.0,Medium Cost,Expert,Tout Risque
104,Porsche,Berline executive,12,98794,185201,16,True,False,64,35,1,0.029,3.05,3.0,High Cost,Modéré,Tout Risque
105,Volvo,SUV,1,88931,14282,15,False,False,54,5,1,0.2,3.35,2.2,High Cost,À risque,Tiers Plus
106,Nissan,SUV,1,36955,16932,9,True,True,74,32,0,0.0,3.05,3.2,High Cost,Expert,Tout Risque
107,Audi,Voiture de luxe,4,60692,32304,14,True,False,47,23,2,0.087,3.45,3.2,High Cost,Expert,Tout Risque
108,Nissan,Citadine,6,25159,36327,9,False,False,48,5,0,0.0,2.05,4.0,Medium Cost,Expert,Tout Risque
109,Renault,Voiture de luxe,11,11132,132840,8,False,False,68,1,0,0.0,1.8,3.6,Low Cost,Expert,Tiers Plus
110,BMW,Sportive,7,83969,107517,15,True,False,21,2,0,0.0,3.15,3.6,High Cost,Expert,Tout Risque
111,Lamborghini,Berline compact,3,278464,24045,21,True,False,55,36,1,0.028,3.9,3.0,High Cost,Modéré,Tout Risque
112,Volvo,Berline executive,14,18210,276831,14,True,True,67,9,0,0.0,2.25,3.2,Medium Cost,Expert,Tout Risque
113,Land Rover,SUV,9,44598,232915,27,True,True,54,8,1,0.125,3.0,1.8,Medium Cost,À risque,Tiers
114,Chevrolet,Citadine,10,3658,196779,5,True,True,66,4,1,0.25,1.55,1.6,Low Cost,À risque,Tiers
115,Mercedes,Voiture populaire,11,30205,167469,10,False,False,29,2,0,0.0,1.95,4.0,Low Cost,Expert,Tiers Plus
116,Jaguar,Break familial,7,61739,77631,24,False,False,58,36,0,0.0,3.05,3.8,High Cost,Expert,Tout Risque
117,Nissan,Break familial,13,16396,310720,9,True,True,31,9,2,0.222,1.8,2.0,Low Cost,À risque,Tiers
118,Ferrari,Voiture populaire,8,94044,196211,20,False,True,25,6,1,0.167,2.75,2.0,Medium Cost,À risque,Tiers
119,Chery,Sportive,2,21671,42978,7,True,True,50,24,0,0.0,2.45,3.6,Medium Cost,Expert,Tout Risque
120,Kia,Sportive,14,4350,170075,9,True,False,23,2,0,0.0,1.7,4.0,Low Cost,Expert,Tiers Plus
121,Land Rover,Berline executive,7,151678,83652,26,False,False,56,26,1,0.038,3.3,3.0,High Cost,Modéré,Tout Risque
122,Lexus,Sportive,5,50163,87259,14,True,False,21,1,0,0.0,3.1,3.6,High Cost,Expert,Tout Risque
123,BMW,SUV,4,45675,60715,15,True,False,53,23,1,0.043,3.1,3.0,High Cost,Modéré,Tout Risque
124,Ferrari,Sportive,14,151325,176649,17,True,False,48,18,1,0.056,3.4,3.2,High Cost,Expert,Tout Risque
125,BMW,Voiture populaire,3,44991,67782,10,False,True,28,9,0,0.0,2.55,3.6,Medium Cost,Expert,Tout Risque
126,Citroën,Berline executive,5,33493,94051,9,False,True,43,12,0,0.0,2.35,3.6,Medium Cost,Expert,Tout Risque
127,Chevrolet,Berline compact,1,19880,10033,6,True,False,61,35,2,0.057,2.35,3.0,Medium Cost,Modéré,Tiers Plus
128,Maserati,Berline compact,4,220654,100279,19,True,True,66,27,0,0.0,3.7,3.2,High Cost,Expert,Tout Risque
129,Audi,Voiture de luxe,8,66020,111823,11,False,False,18,0,0,0.0,2.8,3.6,Medium Cost,Expert,Tout Risque
130,Audi,Citadine,4,67632,31352,14,True,False,71,50,1,0.02,3.15,2.8,High Cost,Modéré,Tout Risque
131,Nissan,Citadine,4,28627,54085,6,False,False,70,25,0,0.0,2.2,3.6,Medium Cost,Expert,Tout Risque
132,Dacia,Berline executive,14,5731,207116,8,False,False,51,26,0,0.0,1.3,3.8,Low Cost,Expert,Tiers Plus
133,Audi,Break familial,10,17303,143941,10,False,True,41,6,0,0.0,2.1,3.6,Medium Cost,Expert,Tout Risque
134,Citroën,Voiture de luxe,4,43342,99912,7,False,True,39,17,1,0.059,2.4,2.8,Medium Cost,Modéré,Tiers Plus
135,Nissan,Berline executive,6,27378,154238,7,False,True,39,7,0,0.0,2.0,3.6,Low Cost,Expert,Tiers Plus
136,BMW,Berline compact,0,63891,0,10,True,False,36,16,0,0.0,3.5,4.0,High Cost,Expert,Tout Risque
137,Infiniti,Citadine,13,26786,223917,8,True,False,64,1,0,0.0,2.25,3.8,Medium Cost,Expert,Tout Risque
138,Chevrolet,Sportive,0,14014,0,9,True,True,25,4,0,0.0,2.6,3.6,Medium Cost,Expert,Tout Risque
139,Citroën,Voiture de luxe,2,57002,36959,10,False,True,50,22,3,0.136,2.75,2.0,Medium Cost,À risque,Tiers
140,BMW,Berline executive,1,76293,15749,12,False,False,40,7,0,0.0,3.3,4.0,High Cost,Expert,Tout Risque
141,Citroën,Voiture de luxe,14,18656,291666,9,False,True,25,1,1,1.0,1.7,1.2,Low Cost,À risque,Tiers
142,Mercedes,Citadine,7,45049,129300,10,True,False,69,36,0,0.0,2.55,3.6,Medium Cost,Expert,Tout Risque
143,Peugeot,Voiture populaire,13,4336,227731,6,True,True,24,0,0,0.0,1.65,3.6,Low Cost,Expert,Tiers Plus
144,Peugeot,Break familial,2,37158,30946,7,True,True,35,1,1,1.0,2.8,1.2,Medium Cost,À risque,Tiers
145,Peugeot,Berline compact,4,37488,72407,6,False,True,20,2,0,0.0,2.3,3.2,Medium Cost,Expert,Tout Risque
146,Infiniti,Break familial,3,59012,40402,13,False,False,70,43,0,0.0,2.7,3.6,Medium Cost,Expert,Tout Risque
147,Ferrari,Berline executive,9,147637,208469,21,True,True,73,45,0,0.0,3.5,3.2,High Cost,Expert,Tout Risque
148,Ferrari,Berline compact,0,186723,0,12,False,True,57,1,0,0.0,3.75,3.4,High Cost,Expert,Tout Risque
149,Infiniti,Citadine,6,54032,66397,13,False,False,46,12,1,0.083,2.4,3.2,Medium Cost,Expert,Tout Risque
150,Nissan,Break familial,4,28447,56882,6,True,True,59,35,0,0.0,2.6,3.4,Medium Cost,Expert,Tout Risque
151,Kia,SUV,1,30767,20650,6,True,True,40,20,0,0.0,2.7,3.6,Medium Cost,Expert,Tout Risque
152,Toyota,Voiture de luxe,4,44222,68656,10,False,True,74,52,0,0.0,2.55,3.2,Medium Cost,Expert,Tout Risque
153,Volvo,Berline executive,12,30427,185295,16,True,False,19,1,1,1.0,2.5,1.2,Medium Cost,À risque,Tiers
154,Mercedes,Voiture populaire,0,39777,0,9,False,False,28,7,0,0.0,2.85,4.0,Medium Cost,Expert,Tout Risque
155,Jaguar,Sportive,3,286935,40024,17,True,False,64,23,2,0.087,4.0,3.0,High Cost,Modéré,Tout Risque
156,Chery,SUV,4,18002,44261,10,False,False,60,16,0,0.0,1.9,3.8,Low Cost,Expert,Tiers Plus
157,Audi,SUV,12,32149,190272,11,False,True,26,8,0,0.0,2.15,3.6,Medium Cost,Expert,Tout Risque
158,Hyundai,SUV,0,22452,0,8,False,True,52,2,0,0.0,2.2,3.4,Medium Cost,Expert,Tout Risque
159,Ferrari,Sportive,11,88077,141938,17,False,False,66,16,3,0.188,2.95,2.0,Medium Cost,À risque,Tiers
160,Dacia,Sportive,6,22896,121533,9,False,True,36,7,1,0.143,1.7,2.0,Low Cost,À risque,Tiers
161,Mercedes,Break familial,0,133251,0,13,False,False,35,11,0,0.0,3.5,4.0,High Cost,Expert,Tout Risque
162,Ford,SUV,9,7328,131572,10,False,True,33,6,2,0.333,1.9,1.2,Low Cost,À risque,Tiers
163,Volvo,Break familial,9,21947,187338,9,True,True,32,4,1,0.25,2.3,2.0,Medium Cost,À risque,Tiers
164,Bentley,Voiture de luxe,2,521655,50185,17,False,True,35,6,0,0.0,3.9,3.6,High Cost,Expert,Tout Risque
165,Maserati,Sportive,10,126465,117641,23,False,False,62,33,2,0.061,3.4,3.0,High Cost,Modéré,Tout Risque
166,Lamborghini,Citadine,10,69083,129359,23,True,False,73,48,1,0.021,3.15,2.8,High Cost,Modéré,Tout Risque
167,Peugeot,Voiture de luxe,5,49789,60162,12,True,False,19,0,0,0.0,2.85,3.6,Medium Cost,Expert,Tout Risque
168,Land Rover,Berline executive,1,481334,10059,27,False,False,52,28,1,0.036,3.9,3.0,High Cost,Modéré,Tout Risque
169,Audi,Berline executive,12,29643,99292,15,False,False,47,24,0,0.0,2.3,4.0,Medium Cost,Expert,Tout Risque
170,Citroën,SUV,3,36253,68552,9,False,True,73,29,2,0.069,2.45,2.4,Medium Cost,Modéré,Tiers Plus
171,Kia,Break familial,1,12822,16803,3,False,True,70,45,0,0.0,2.0,3.2,Low Cost,Expert,Tiers Plus
172,Bentley,Berline compact,14,40439,260566,19,True,True,54,36,0,0.0,2.7,3.4,Medium Cost,Expert,Tout Risque
173,Bentley,Sportive,5,359961,109659,23,False,False,51,24,1,0.042,3.6,3.0,High Cost,Modéré,Tout Risque
174,Kia,Break familial,3,20944,50340,6,False,True,71,52,2,0.038,1.75,2.4,Low Cost,Modéré,Tiers
175,Toyota,Berline compact,13,10585,217984,6,False,True,58,2,1,0.5,1.45,1.0,Low Cost,À risque,Tiers
176,Maserati,Berline compact,4,277550,58776,18,False,True,52,19,3,0.158,3.5,1.8,High Cost,À risque,Tiers Plus
177,Fiat,SUV,12,11517,128391,7,True,False,20,2,0,0.0,1.65,3.6,Low Cost,Expert,Tiers Plus
178,Kia,Citadine,7,7287,78112,6,False,False,51,10,1,0.1,1.45,3.0,Low Cost,Modéré,Tiers
179,Mercedes,Sportive,2,59445,34551,14,False,True,51,11,0,0.0,3.1,3.4,High Cost,Expert,Tout Risque
180,Fiat,SUV,14,3415,306080,11,False,True,41,14,0,0.0,1.3,3.6,Low Cost,Expert,Tiers Plus
181,Hyundai,Voiture de luxe,10,3973,226810,7,False,True,65,12,2,0.167,1.55,1.8,Low Cost,À risque,Tiers
182,Infiniti,Citadine,12,20592,290573,12,True,True,46,18,2,0.111,2.0,2.0,Low Cost,À risque,Tiers
183,Lamborghini,SUV,7,215765,153617,23,True,True,50,5,0,0.0,3.5,3.6,High Cost,Expert,Tout Risque
184,Kia,Voiture de luxe,7,17502,58126,5,True,False,42,20,1,0.05,2.05,3.2,Medium Cost,Expert,Tout Risque
185,BMW,Sportive,14,56991,170726,16,False,False,74,50,2,0.04,2.3,2.8,Medium Cost,Modéré,Tiers Plus
186,Volkswagen,Citadine,9,6600,139917,7,True,True,56,30,0,0.0,1.95,3.4,Low Cost,Expert,Tiers Plus
187,Jaguar,Break familial,1,168477,23985,24,False,True,19,1,0,0.0,3.8,3.2,High Cost,Expert,Tout Risque
188,Chery,Break familial,10,3004,257742,3,True,True,51,23,2,0.087,1.6,2.6,Low Cost,Modéré,Tiers
189,Chery,Citadine,5,14280,38515,3,False,False,45,27,0,0.0,1.6,4.0,Low Cost,Expert,Tiers Plus
190,Maserati,Sportive,4,423364,60920,18,False,True,34,11,0,0.0,3.7,3.6,High Cost,Expert,Tout Risque
191,Peugeot,SUV,9,20980,84218,10,False,False,64,28,0,0.0,1.9,3.8,Low Cost,Expert,Tiers Plus
192,Hyundai,Break familial,10,4956,155610,7,False,True,46,10,1,0.1,1.35,2.8,Low Cost,Modéré,Tiers
193,Audi,Voiture populaire,14,15802,278092,10,True,True,40,1,0,0.0,2.0,3.6,Low Cost,Expert,Tiers Plus
194,Citroën,Berline compact,12,11493,303979,7,True,True,56,14,1,0.071,1.75,2.6,Low Cost,Modéré,Tiers
195,Chery,SUV,12,3810,158688,9,False,False,20,0,1,1.0,1.3,1.2,Low Cost,À risque,Tiers
196,Kia,Sportive,7,19472,109224,11,False,False,36,4,2,0.5,1.7,1.6,Low Cost,À risque,Tiers
197,Citroën,Sportive,0,39023,0,8,False,True,66,24,1,0.042,2.85,2.4,Medium Cost,Modéré,Tiers Plus
198,Porsche,Citadine,1,105421,16376,19,False,False,42,16,0,0.0,3.45,4.0,High Cost,Expert,Tout Risque
199,Porsche,SUV,7,169636,162757,17,True,True,61,23,2,0.087,3.5,2.6,High Cost,Modéré,Tout Risque
200,Peugeot,Citadine,2,11796,32451,5,False,True,24,0,0,0.0,2.15,3.6,Medium Cost,Expert,Tout Risque
201,Ferrari,Berline compact,3,112401,30277,20,False,False,39,21,0,0.0,3.25,4.0,High Cost,Expert,Tout Risque
202,Citroën,Berline compact,1,22752,14157,9,False,False,38,17,1,0.059,2.4,3.2,Medium Cost,Expert,Tout Risque
203,Hyundai,Sportive,1,34014,13567,7,False,False,55,7,1,0.143,2.5,2.2,Medium Cost,À risque,Tiers
204,Ford,Berline executive,2,44855,30518,7,True,True,32,5,1,0.2,2.9,2.0,Medium Cost,À risque,Tiers
205,Ford,Voiture de luxe,3,45334,40069,8,False,False,50,12,0,0.0,2.55,4.0,Medium Cost,Expert,Tout Risque
206,Land Rover,Voiture de luxe,12,127536,98909,16,True,False,63,14,0,0.0,3.5,3.8,High Cost,Expert,Tout Risque
207,Hyundai,Berline executive,6,18417,112125,11,False,False,26,5,1,0.2,1.6,2.4,Low Cost,Modéré,Tiers
208,Kia,Voiture de luxe,14,11369,211336,7,True,False,64,6,1,0.167,1.65,2.2,Low Cost,À risque,Tiers
209,Audi,Citadine,3,60838,49063,14,True,False,58,13,0,0.0,3.15,3.8,High Cost,Expert,Tout Risque
210,Porsche,Sportive,5,227535,105596,25,False,True,68,18,3,0.167,3.6,1.6,High Cost,À risque,Tiers Plus
211,Renault,SUV,3,18545,56664,13,True,False,61,17,0,0.0,2.55,3.8,Medium Cost,Expert,Tout Risque
212,BMW,Sportive,2,125615,33482,12,True,True,27,2,0,0.0,3.85,3.6,High Cost,Expert,Tout Risque
213,Jaguar,Break familial,12,76963,120204,18,True,False,47,20,1,0.05,3.05,3.2,High Cost,Expert,Tout Risque
214,Lexus,Citadine,12,17764,289859,12,False,True,61,19,1,0.053,1.7,2.6,Low Cost,Modéré,Tiers
215,Peugeot,Voiture populaire,1,27003,24404,5,False,True,70,33,0,0.0,2.5,3.2,Medium Cost,Expert,Tout Risque
216,Jaguar,Berline compact,1,174485,16434,18,False,False,68,11,0,0.0,3.8,3.6,High Cost,Expert,Tout Risque
217,Volvo,SUV,1,123041,16317,13,False,False,65,29,0,0.0,3.6,3.8,High Cost,Expert,Tout Risque
218,Mercedes,Break familial,11,18386,203216,9,False,True,22,4,0,0.0,1.8,3.6,Low Cost,Expert,Tiers Plus
219,Nissan,Break familial,5,28690,122244,5,True,True,56,5,1,0.2,2.5,1.8,Medium Cost,À risque,Tiers
